estrutura time amostra
LSM 6565 2000
LSM 7193 2000
LSM 6704 2000
LSM 6775 2000
LSM 6565 2000
LSM 10546 2000
LSM 6915 2000
LSM 7193 2000
LSM 6705 2000
LSM 7124 2000
LSM 6774 2000
LSM 6635 2000
LSM 6775 2000
LSM 7124 2000
LSM 6705 2000
LSM 6635 2000
LSM 6635 2000
LSM 6216 2000
LSM 5727 2000
LSM 6216 2000
LSM 6077 2000
LSM 5308 2000
LSM 4819 2000
LSM 7124 2000
LSM 6566 2000
LSM 10058 2000
LSM 6635 2000
LSM 7194 2000
LSM 6705 2000
LSM 6635 2000
LSM 6565 2000
LSM 7054 2000
LSM 6775 2000
LSM 6705 2000
LSM 6774 2000
LSM 7054 2000
LSM 6705 2000
LSM 7612 2000
LSM 10337 2000
LSM 6705 2000
LSM 7054 2000
LSM 6705 2000
LSM 6704 2000
LSM 6705 2000
LSM 6565 2000
LSM 6216 2000
LSM 7124 2000
LSM 7124 2000
LSM 6775 2000
LSM 3353 2000
LSM 7193 2000
LSM 6635 2000
LSM 6704 2000
LSM 5308 2000
LSM 5866 2000
LSM 5168 2000
LSM 4330 2000
LSM 5866 2000
LSM 6565 2000
LSM 5727 2000
LSM 5727 2000
LSM 5727 2000
LSM 5657 2000
LSM 6285 2000
LSM 4261 2000
LSM 6216 2000
LSM 5308 2000
LSM 6635 2000
LSM 6146 2000
LSM 4400 2000
LSM 5727 2000
LSM 5727 2000
LSM 5238 2000
LSM 5308 2000
LSM 5308 2000
LSM 5727 2000
LSM 8101 2000
LSM 4819 2000
LSM 6076 2000
LSM 8591 2000
LSM 6635 2000
LSM 5238 2000
LSM 9429 2000
LSM 6146 2000
LSM 7753 2000
LSM 4260 2000
LSM 6146 2000
LSM 7124 2000
LSM 4190 2000
LSM 6216 2000
LSM 6635 2000
LSM 6565 2000
LSM 4400 2000
LSM 8102 2000
LSM 8172 2000
LSM 6076 2000
LSM 6216 2000
LSM 5308 2000
LSM 8451 2000
LSM 6146 2000
LSM 6216 2000
LSM 5168 2000
LSM 5727 2000
LSM 5169 2000
LSM 4749 2000
LSM 4820 2000
LSM 5796 2000
LSM 4261 2000
LSM 5727 2000
LSM 3841 2000
LSM 7753 2000
LSM 4261 2000
LSM 6216 2000
LSM 5797 2000
LSM 5168 2000
LSM 31010 2000
LSM 6146 2000
LSM 5587 2000
LSM 5308 2000
LSM 8590 2000
LSM 7543 2000
LSM 5727 2000
LSM 5587 2000
LSM 4261 2000
LSM 7682 2000
LSM 4331 2000
LSM 6635 2000
LSM 6286 2000
LSM 6635 2000
LSM 5727 2000
LSM 8521 2000
LSM 8660 2000
LSM 6705 2000
LSM 6775 2000
LSM 6216 2000
LSM 13969 2000
LSM 8102 2000
LSM 4400 2000
LSM 5169 2000
LSM 5797 2000
LSM 8660 2000
LSM 4610 2000
LSM 6635 2000
LSM 5308 2000
LSM 5169 2000
LSM 6775 2000
LSM 5727 2000
LSM 7613 2000
LSM 9498 2000
LSM 8102 2000
LSM 6705 2000
LSM 6216 2000
LSM 6356 2000
LSM 6565 2000
LSM 6565 2000
LSM 6286 2000
LSM 6146 2000
LSM 8660 2000
LSM 5658 2000
LSM 6704 2000
